date,listeners,streams,followers,year_month
2024-12-25,155,186,520,2024-12
2024-12-26,301,329,520,2024-12
2024-12-27,333,354,520,2024-12
2024-12-28,245,259,520,2024-12
2024-12-29,245,308,520,2024-12
2024-12-30,386,447,520,2024-12
2024-12-31,368,415,520,2024-12
2025-01-01,247,317,520,2025-01
2025-01-02,510,548,520,2025-01
2025-01-03,507,550,521,2025-01
2025-01-04,339,383,521,2025-01
2025-01-05,384,433,521,2025-01
2025-01-06,616,672,521,2025-01
2025-01-07,634,691,523,2025-01
2025-01-08,691,779,523,2025-01
2025-01-09,672,736,516,2025-01
2025-01-10,619,676,515,2025-01
2025-01-11,376,417,515,2025-01
2025-01-12,383,449,515,2025-01
2025-01-13,643,681,515,2025-01
2025-01-14,732,790,515,2025-01
2025-01-15,704,746,515,2025-01
2025-01-16,705,749,515,2025-01
2025-01-17,637,710,515,2025-01
2025-01-18,456,492,515,2025-01
2025-01-19,404,459,515,2025-01
2025-01-20,583,665,515,2025-01
2025-01-21,723,780,514,2025-01
2025-01-22,716,778,514,2025-01
2025-01-23,688,763,514,2025-01
2025-01-24,623,689,515,2025-01
2025-01-25,418,478,515,2025-01
2025-01-26,410,450,515,2025-01
2025-01-27,729,780,515,2025-01
2025-01-28,740,786,515,2025-01
2025-01-29,734,792,515,2025-01
2025-01-30,718,748,515,2025-01
2025-01-31,627,725,515,2025-01
2025-02-01,395,427,515,2025-02
2025-02-02,393,434,515,2025-02
2025-02-03,717,869,516,2025-02
2025-02-04,711,773,517,2025-02
2025-02-05,752,810,517,2025-02
2025-02-06,740,824,517,2025-02
2025-02-07,660,704,517,2025-02
2025-02-08,427,497,517,2025-02
2025-02-09,413,449,518,2025-02
2025-02-10,728,764,518,2025-02
2025-02-11,1317,1417,535,2025-02
2025-02-12,1083,1127,543,2025-02
2025-02-13,709,773,543,2025-02
2025-02-14,625,666,543,2025-02
2025-02-15,378,419,544,2025-02
2025-02-16,373,406,544,2025-02
2025-02-17,1153,1205,581,2025-02
2025-02-18,1190,1302,601,2025-02
2025-02-19,909,954,603,2025-02
2025-02-20,691,752,604,2025-02
2025-02-21,639,777,604,2025-02
2025-02-22,439,491,605,2025-02
2025-02-23,445,516,605,2025-02
2025-02-24,706,775,605,2025-02
2025-02-25,792,844,605,2025-02
2025-02-26,815,887,605,2025-02
2025-02-27,774,828,605,2025-02
2025-02-28,600,690,605,2025-02
2025-03-01,406,465,606,2025-03
2025-03-02,376,416,606,2025-03
2025-03-03,755,845,606,2025-03
2025-03-04,761,822,606,2025-03
2025-03-05,750,783,606,2025-03
2025-03-06,802,841,606,2025-03
2025-03-07,606,638,606,2025-03
2025-03-08,399,434,606,2025-03
2025-03-09,378,419,606,2025-03
2025-03-10,695,728,606,2025-03
2025-03-11,636,671,606,2025-03
2025-03-12,699,737,606,2025-03
2025-03-13,981,1061,606,2025-03
2025-03-14,721,778,606,2025-03
2025-03-15,370,404,601,2025-03
2025-03-16,602,654,600,2025-03
2025-03-17,1107,1183,601,2025-03
2025-03-18,710,772,601,2025-03
2025-03-19,665,716,602,2025-03
2025-03-20,748,798,603,2025-03
2025-03-21,639,664,603,2025-03
2025-03-22,408,462,603,2025-03
2025-03-23,392,436,603,2025-03
2025-03-24,677,725,603,2025-03
2025-03-25,885,940,603,2025-03
2025-03-26,741,892,604,2025-03
2025-03-27,645,676,604,2025-03
2025-03-28,575,640,605,2025-03
2025-03-29,416,477,605,2025-03
2025-03-30,377,425,605,2025-03
2025-03-31,690,820,605,2025-03
2025-04-01,791,883,606,2025-04
2025-04-02,772,921,606,2025-04
2025-04-03,638,840,605,2025-04
2025-04-04,580,738,605,2025-04
2025-04-05,389,523,605,2025-04
2025-04-06,370,669,605,2025-04
2025-04-07,682,759,605,2025-04
2025-04-08,737,892,606,2025-04
2025-04-09,728,815,606,2025-04
2025-04-10,679,766,607,2025-04
2025-04-11,574,705,607,2025-04
2025-04-12,355,414,607,2025-04
2025-04-13,391,438,607,2025-04
2025-04-14,605,647,607,2025-04
2025-04-15,687,738,607,2025-04
2025-04-16,558,612,607,2025-04
2025-04-17,568,625,608,2025-04
2025-04-18,494,533,608,2025-04
2025-04-19,337,383,608,2025-04
2025-04-20,303,364,608,2025-04
2025-04-21,552,592,608,2025-04
2025-04-22,694,769,607,2025-04
2025-04-23,692,815,608,2025-04
2025-04-24,650,733,608,2025-04
2025-04-25,577,671,608,2025-04
2025-04-26,355,474,608,2025-04
2025-04-27,406,482,608,2025-04
2025-04-28,634,685,608,2025-04
2025-04-29,645,724,608,2025-04
2025-04-30,689,740,608,2025-04
2025-05-01,619,679,608,2025-05
2025-05-02,583,634,605,2025-05
2025-05-03,365,400,599,2025-05
2025-05-04,396,441,598,2025-05
2025-05-05,662,708,598,2025-05
2025-05-06,695,751,599,2025-05
2025-05-07,693,751,599,2025-05
2025-05-08,678,738,600,2025-05
2025-05-09,605,680,600,2025-05
2025-05-10,403,486,600,2025-05
2025-05-11,423,486,600,2025-05
2025-05-12,675,772,600,2025-05
2025-05-13,695,770,600,2025-05
2025-05-14,677,741,600,2025-05
2025-05-15,651,700,600,2025-05
2025-05-16,616,672,600,2025-05
2025-05-17,393,443,600,2025-05
2025-05-18,396,448,599,2025-05
2025-05-19,764,867,599,2025-05
2025-05-20,689,740,598,2025-05
2025-05-21,695,760,598,2025-05
2025-05-22,669,736,598,2025-05
2025-05-23,604,652,597,2025-05
2025-05-24,383,460,597,2025-05
2025-05-25,337,397,597,2025-05
2025-05-26,500,581,597,2025-05
2025-05-27,537,583,597,2025-05
2025-05-28,632,728,597,2025-05
2025-05-29,647,723,597,2025-05
2025-05-30,552,618,597,2025-05
2025-05-31,356,398,597,2025-05
2025-06-01,319,404,597,2025-06
2025-06-02,561,610,597,2025-06
2025-06-03,641,729,597,2025-06
2025-06-04,634,723,596,2025-06
2025-06-05,561,611,597,2025-06
2025-06-06,526,589,597,2025-06
2025-06-07,340,396,597,2025-06
2025-06-08,324,354,597,2025-06
2025-06-09,531,564,581,2025-06
2025-06-10,606,637,581,2025-06
2025-06-11,568,617,582,2025-06
2025-06-12,519,561,582,2025-06
2025-06-13,454,489,582,2025-06
2025-06-14,294,388,582,2025-06
2025-06-15,315,352,582,2025-06
2025-06-16,526,597,582,2025-06
2025-06-17,552,598,582,2025-06
2025-06-18,503,550,582,2025-06
2025-06-19,467,503,582,2025-06
2025-06-20,462,504,582,2025-06
2025-06-21,275,320,582,2025-06
2025-06-22,291,326,582,2025-06
2025-06-23,483,536,582,2025-06
2025-06-24,522,571,582,2025-06
2025-06-25,523,582,582,2025-06
2025-06-26,501,548,582,2025-06
2025-06-27,464,509,582,2025-06
2025-06-28,299,343,582,2025-06
2025-06-29,266,298,582,2025-06
2025-06-30,466,492,582,2025-06
2025-07-01,478,513,582,2025-07
2025-07-02,465,525,582,2025-07
2025-07-03,460,495,582,2025-07
2025-07-04,293,320,535,2025-07
2025-07-05,255,316,535,2025-07
2025-07-06,267,306,535,2025-07
2025-07-07,478,532,536,2025-07
2025-07-08,498,529,537,2025-07
2025-07-09,467,506,537,2025-07
2025-07-10,466,520,537,2025-07
2025-07-11,421,458,537,2025-07
2025-07-12,279,332,537,2025-07
2025-07-13,237,261,537,2025-07
2025-07-14,484,555,537,2025-07
2025-07-15,467,516,537,2025-07
2025-07-16,445,483,537,2025-07
2025-07-17,473,539,537,2025-07
2025-07-18,402,464,537,2025-07
2025-07-19,245,308,537,2025-07
2025-07-20,246,280,537,2025-07
2025-07-21,476,513,536,2025-07
2025-07-22,489,557,536,2025-07
2025-07-23,448,485,536,2025-07
2025-07-24,488,566,536,2025-07
2025-07-25,412,448,536,2025-07
2025-07-26,269,324,536,2025-07
2025-07-27,256,293,536,2025-07
2025-07-28,471,508,536,2025-07
2025-07-29,465,504,536,2025-07
2025-07-30,448,481,536,2025-07
2025-07-31,469,513,536,2025-07
2025-08-01,419,470,536,2025-08
2025-08-02,259,294,536,2025-08
2025-08-03,244,267,536,2025-08
2025-08-04,476,503,536,2025-08
2025-08-05,488,544,536,2025-08
2025-08-06,492,538,546,2025-08
2025-08-07,458,500,581,2025-08
2025-08-08,450,485,644,2025-08
2025-08-09,303,376,644,2025-08
2025-08-10,261,635,647,2025-08
2025-08-11,503,595,648,2025-08
2025-08-12,511,578,649,2025-08
2025-08-13,429,463,649,2025-08
2025-08-14,480,618,649,2025-08
2025-08-15,420,480,649,2025-08
2025-08-16,272,304,650,2025-08
2025-08-17,254,321,650,2025-08
2025-08-18,437,471,652,2025-08
2025-08-19,472,501,652,2025-08
2025-08-20,536,574,652,2025-08
2025-08-21,488,545,652,2025-08
2025-08-22,456,478,653,2025-08
2025-08-23,272,318,653,2025-08
2025-08-24,289,321,653,2025-08
2025-08-25,464,498,648,2025-08
2025-08-26,511,576,648,2025-08
2025-08-27,512,557,647,2025-08
2025-08-28,485,549,647,2025-08
2025-08-29,435,491,647,2025-08
2025-08-30,289,324,647,2025-08
2025-08-31,289,340,647,2025-08
2025-09-01,377,404,646,2025-09
2025-09-02,502,552,645,2025-09
2025-09-03,472,506,645,2025-09
2025-09-04,506,540,645,2025-09
2025-09-05,441,467,644,2025-09
2025-09-06,271,294,644,2025-09
2025-09-07,299,331,644,2025-09
2025-09-08,513,548,644,2025-09
2025-09-09,530,567,644,2025-09
2025-09-10,520,597,644,2025-09
2025-09-11,478,496,644,2025-09
2025-09-12,420,436,644,2025-09
2025-09-13,283,308,645,2025-09
2025-09-14,316,341,645,2025-09
2025-09-15,486,515,645,2025-09
2025-09-16,498,537,645,2025-09
2025-09-17,483,514,645,2025-09
2025-09-18,474,501,645,2025-09
2025-09-19,445,486,645,2025-09
2025-09-20,276,312,544,2025-09
2025-09-21,260,289,544,2025-09
2025-09-22,421,471,544,2025-09
2025-09-23,458,500,545,2025-09
2025-09-24,502,537,544,2025-09
2025-09-25,465,500,544,2025-09
2025-09-26,394,419,544,2025-09
2025-09-27,283,315,544,2025-09
2025-09-28,260,300,545,2025-09
2025-09-29,476,562,545,2025-09
2025-09-30,462,500,545,2025-09
2025-10-01,471,515,545,2025-10
2025-10-02,454,482,545,2025-10
2025-10-03,385,407,545,2025-10
2025-10-04,274,320,545,2025-10
2025-10-05,254,288,545,2025-10
2025-10-06,447,474,545,2025-10
2025-10-07,463,490,545,2025-10
2025-10-08,475,496,545,2025-10
2025-10-09,454,484,545,2025-10
2025-10-10,407,434,545,2025-10
2025-10-11,263,293,546,2025-10
2025-10-12,236,251,546,2025-10
2025-10-13,435,470,546,2025-10
2025-10-14,452,476,546,2025-10
2025-10-15,478,510,546,2025-10
2025-10-16,431,449,546,2025-10
2025-10-17,380,435,546,2025-10
2025-10-18,217,241,546,2025-10
2025-10-19,249,279,544,2025-10
2025-10-20,410,433,544,2025-10
2025-10-21,417,457,544,2025-10
2025-10-22,448,497,544,2025-10
2025-10-23,415,460,544,2025-10
2025-10-24,409,441,544,2025-10
2025-10-25,252,270,544,2025-10
2025-10-26,267,291,544,2025-10
2025-10-27,469,512,544,2025-10
2025-10-28,428,471,544,2025-10
2025-10-29,429,466,544,2025-10
2025-10-30,407,441,544,2025-10
2025-10-31,372,391,544,2025-10
2025-11-01,224,283,544,2025-11
2025-11-02,279,309,544,2025-11
2025-11-03,488,522,544,2025-11
2025-11-04,457,492,544,2025-11
2025-11-05,482,513,544,2025-11
2025-11-06,457,487,544,2025-11
2025-11-07,416,458,544,2025-11
2025-11-08,277,292,544,2025-11
2025-11-09,289,323,544,2025-11
2025-11-10,432,465,544,2025-11
2025-11-11,458,487,544,2025-11
2025-11-12,455,502,544,2025-11
2025-11-13,407,429,544,2025-11
2025-11-14,398,433,544,2025-11
2025-11-15,287,312,544,2025-11
2025-11-16,301,328,544,2025-11
2025-11-17,434,451,544,2025-11
2025-11-18,466,499,544,2025-11
2025-11-19,479,516,544,2025-11
2025-11-20,442,480,544,2025-11
2025-11-21,392,411,543,2025-11
2025-11-22,244,273,543,2025-11
2025-11-23,264,288,543,2025-11
2025-11-24,408,453,544,2025-11
2025-11-25,428,461,544,2025-11
2025-11-26,358,396,544,2025-11
2025-11-27,284,310,544,2025-11
2025-11-28,269,287,543,2025-11
2025-11-29,226,246,543,2025-11
2025-11-30,231,256,543,2025-11
2025-12-01,408,448,543,2025-12
2025-12-02,413,448,543,2025-12
2025-12-03,414,513,543,2025-12
2025-12-04,369,427,542,2025-12
2025-12-05,358,384,542,2025-12
2025-12-06,249,273,542,2025-12
2025-12-07,216,241,542,2025-12
2025-12-08,400,456,542,2025-12
2025-12-09,396,414,542,2025-12
2025-12-10,405,434,542,2025-12
2025-12-11,354,417,542,2025-12
2025-12-12,369,389,542,2025-12
2025-12-13,280,288,542,2025-12
2025-12-14,222,246,542,2025-12
2025-12-15,396,470,542,2025-12
2025-12-16,348,370,542,2025-12
2025-12-17,363,385,542,2025-12
2025-12-18,317,330,542,2025-12
2025-12-19,238,248,542,2025-12
2025-12-20,188,210,542,2025-12
2025-12-21,160,178,542,2025-12
2025-12-22,217,234,542,2025-12
2025-12-23,235,256,544,2025-12
